Program;Length;WS;AS I;AS II;Test;Substitution
+[o-o<-];8;[('', '0'), ('11001', '')];[('10100', ''), ('', '0')];[('10101', ''), ('100', ''), ('00', '1010')];[('01', '1010'), ('10', ''), ('10110', ''), ('0100', '1010'), ('0101', '1010')];0
+[o<+o+o];9;[('00', '1011')];[('01', '1011'), ('001', '1011')];[('1001', ''), ('1010', ''), ('1011', '')];[('1100', ''), ('10', ''), ('11001', ''), ('1101', ''), ('1110', '')];0
+[oo-];6;[('01', '1100')];[('010', '1100'), ('0010', '1100')];[('011', '1100'), ('10', ''), ('11', '')];[('', '00'), ('100', ''), ('00', '1100'), ('0011', '1100'), ('0100', '1100')];0
+o[o<+o+];9;[('01', '1101')];[('', '0001'), ('0000', '1101')];[('00', '1101'), ('000', '1101'), ('01', '1101')];[('0001', '1101'), ('10000', ''), ('10', ''), ('11', ''), ('001', '1101')];0
+oo[o-];7;[('11', ''), ('1011', '')];[('0101', '1110'), ('0110', '1110')];[('', '000'), ('00101', '1110'), ('101', '')];[('110', ''), ('00110', '1110'), ('111', ''), ('0111', '1110'), ('01', '1110')];0
>-[<ooo];8;[('', ''), ('001', ''), ('101', '')];[('110', '111'), ('', '')];[('0110', '000'), ('1', '111'), ('0111', '000')];[('11', '111'), ('10110', ''), ('111', '111'), ('011', '000'), ('1000', '')];0
>-[>+o<-o];10;[('01', '0'), ('', '001')];[('1110', ''), ('11', '0')];[('', '001'), ('01110', ''), ('110', '1')];[('111', ''), ('100', ''), ('1111', ''), ('01111', ''), ('10000', '')];0
+>-[-o<o];9;[('1001', ''), ('1', '0')];[('0100', ''), ('0101', '')];[('1', '0'), ('', '00'), ('01', '')];[('0110', ''), ('100', ''), ('10', ''), ('00100', ''), ('11', '')];0
+>-[<-o]o;9;[('1111', '11')];[('11', '11'), ('1', '11')];[('10111', ''), ('111', '11'), ('0111', '01')];[('', ''), ('11000', '11'), ('10', ''), ('11001', '11'), ('11010', '11')];0
>-[o<o];7;[('100', ''), ('101', '')];[('11', '011'), ('110', '011')];[('1110', '011'), ('1', '111'), ('01110', '000')];[('01', '000'), ('01111', '000'), ('', '1'), ('1111', '011'), ('1010', '')];0
+>-[o<-];8;[('010', '001')];[('1100', '011'), ('', '1')];[('01100', '001'), ('01101', '001'), ('100', '')];[('01', '001'), ('01110', '001'), ('1101', '011'), ('1', '111'), ('101', '')];0
>-o[o<];7;[('', '11'), ('1', '111')];[('11', '001'), ('01', '000')];[('0010', ''), ('1', '111'), ('', '11')];[('010', '000'), ('00010', ''), ('011', '000'), ('0011', ''), ('100', '')];0
>>[-o];6;[('10101', '0')];[('', ''), ('00111', '0')];[('1', ''), ('0', ''), ('01', '')];[('01000', ''), ('01001', ''), ('01010', ''), ('01011', ''), ('000', '')];0
>+o[o+];7;[('010', ''), ('111', '')];[('1', '001'), ('10', '11')];[('01111', ''), ('', '001'), ('10000', '11')];[('111', ''), ('10001', '11'), ('11', ''), ('10010', '11'), ('1111', '')];0
>+[o<+];7;[('10100', '1')];[('11', ''), ('00010', '110')];[('00', '110'), ('10', '1'), ('0010', '110')];[('1', '0'), ('', '000'), ('00011', '110'), ('0011', '110'), ('00100', '110')];0
>+[o+o];7;[('00', '1'), ('', '011')];[('1', '011'), ('10', '1')];[('1001', '1'), ('11', ''), ('01001', '')];[('001', '1'), ('010', ''), ('', '011'), ('1010', '1'), ('011', '')];0
>+[<+o]o;8;[('11', ''), ('', '00'), ('10', '')];[('1100', ''), ('1', '')];[('11100', ''), ('11101', ''), ('11110', '')];[('100', ''), ('11111', ''), ('', '00'), ('00', '10'), ('1101', '')];0
>+[>-o<+o];10;[('010', ''), ('', '110')];[('', '110'), ('0000', '')];[('000', ''), ('00000', ''), ('1', '110')];[('00001', ''), ('00', '1'), ('00010', ''), ('10', '1'), ('11', '')];0
>+[+ooo];8;[('0100', ''), ('11', '')];[('', '111'), ('1', '111')];[('00', ''), ('10', ''), ('000', '')];[('11000', ''), ('11', ''), ('1000', ''), ('001', ''), ('010', '')];0
>-[-ooo];8;[('0', '000'), ('01', '')];[('', '000'), ('0', '000')];[('10000', ''), ('000', ''), ('00', '')];[('001', ''), ('10001', ''), ('01', ''), ('010', ''), ('10010', '')];0
>-[-o<o];8;[('110', ''), ('0', '00')];[('011', ''), ('100', '')];[('0', '00'), ('101', ''), ('01011', '')];[('', '0'), ('01100', ''), ('01101', ''), ('1011', ''), ('01110', '')];0
>-[<-o]o;8;[('', '11'), ('1011', '')];[('', '11'), ('11111', '01')];[('0', ''), ('01000', ''), ('1111', '01')];[('111', '01'), ('1000', ''), ('000', ''), ('00', ''), ('1001', '')];0
>-[o-o];7;[('0001', ''), ('00', '')];[('', '100'), ('1000', '')];[('0', '100'), ('00', ''), ('1001', '')];[('000', ''), ('1010', ''), ('1011', ''), ('01000', '0'), ('01', '0')];0
>-[o<-];7;[('01110', '0')];[('0', '1'), ('10', '')];[('11', '001'), ('1001', ''), ('', '111')];[('001', ''), ('11001', '001'), ('010', '0'), ('011', '0'), ('1010', '')];0
>-o[o-];7;[('1100', '00')];[('011', '00'), ('100', '')];[('0011', ''), ('', '110'), ('0', '110')];[('0100', '00'), ('11', '00'), ('10011', ''), ('0101', '00'), ('10100', '')];0
>+oo<+o;7;[('1000', '11')];[('110', ''), ('11110', '')];[('0', '001'), ('11111', ''), ('10', '11')];[('111', ''), ('010', ''), ('1110', ''), ('11', ''), ('011', '')];0
>+o[o<];7;[('', '00'), ('0', '000')];[('0100', ''), ('00100', '110')];[('0101', ''), ('100', '111'), ('0', '000')];[('0110', ''), ('', '00'), ('00101', '110'), ('00110', '110'), ('00', '110')];0
->+[o<+];8;[('110', ''), ('010', '')];[('10111', '110'), ('0111', '')];[('', '0'), ('0', '000'), ('10', '110')];[('11', ''), ('00', '100'), ('1000', '110'), ('1001', '110'), ('1010', '110')];0
>+[o<o];7;[('001', '100')];[('', '0'), ('00', '100')];[('0000', '100'), ('0001', '100'), ('10000', '111')];[('0', '000'), ('10001', '111'), ('01', ''), ('10010', '111'), ('10', '111')];0
+o>+oo;6;[('10', ''), ('1010', '')];[('10', ''), ('11', '')];[('1', ''), ('001', '111'), ('00', '111')];[('010', '1'), ('1001', ''), ('011', '1'), ('100', ''), ('101', '')];0
->+[<+o]o;9;[('110', ''), ('', ''), ('1', '10')];[('011', ''), ('100', '10')];[('0011', '00'), ('10011', '10'), ('101', '10')];[('10100', '10'), ('0100', ''), ('110', ''), ('0', '00'), ('0101', '')];0
+o>+o<o;7;[('101', ''), ('1', ''), ('10', '')];[('10', ''), ('010', '1')];[('00', '111'), ('1010', ''), ('01010', '1')];[('1011', ''), ('1100', ''), ('', '000'), ('011', '1'), ('100', '')];0
->+[+o<o];9;[('0101', ''), ('01', '')];[('10', ''), ('0010', '')];[('00010', ''), ('010', ''), ('00011', '')];[('00100', ''), ('00', ''), ('0', '1'), ('01', ''), ('00101', '')];0
+oo>+o;6;[('0100', '11')];[('01101', '11'), ('1101', '')];[('1110', ''), ('01110', '11'), ('1111', '')];[('1', ''), ('101', ''), ('0111', '11'), ('', '000'), ('110', '')];0
>+[<ooo];8;[('100', '111')];[('0', '000'), ('001', '000')];[('0001', '000'), ('01', ''), ('0010', '000')];[('10', '111'), ('', ''), ('00', '000'), ('0011', '000'), ('0100', '')];0
[>o];4;[('0001', '001')];[('10', '0'), ('00010', '0010')];[('', ''), ('0', ''), ('11', '1')];[('1', ''), ('0010', '010'), ('0011', '011'), ('0100', '100'), ('0101', '101')];0
o>o>o;5;[('0001', '000')];[('1', '1'), ('0', '0')];[('', ''), ('00111', '001'), ('01000', '010')];[('01001', '010'), ('11', '11'), ('111', '111'), ('01010', '010'), ('01011', '010')];0
-o>o>o;6;[('001', ''), ('0', ''), ('', '1'), ('1', '0')];[('', '1'), ('000', '')];[('0', ''), ('1', '0'), ('00', '')];[('01', ''), ('10', '00'), ('1000', '000'), ('11000', '010'), ('11', '01')];0
>-[o>];6;[('1111', '011')];[('10', ''), ('1010', '')];[('01010', '0010'), ('1011', ''), ('0', '1')];[('1100', '000'), ('1101', '001'), ('', '1'), ('01011', '0011'), ('11', '0')];0
>+[o>];6;[('0', '0'), ('10', '1'), ('1', '0')];[('10', '1'), ('0', '0')];[('0011', '111'), ('11', ''), ('010', '')];[('011', ''), ('10010', '1010'), ('1', '0'), ('', '0'), ('0100', '')];0
+o>o>o;6;[('100', ''), ('', '0'), ('101', '')];[('011', '111'), ('100', '')];[('1100', ''), ('', '0'), ('01011', '110')];[('1101', ''), ('101', ''), ('1110', ''), ('01100', '111'), ('1', '')];0
>ooo>o;6;[('', ''), ('0', ''), ('00', '000'), ('1', '')];[('011', '1111'), ('0011', '0001')];[('0100', '1110'), ('00011', '0000'), ('', '')];[('1', ''), ('0', ''), ('11', '111'), ('00100', '0001'), ('00', '000')];0
o[o>];5;[('100', '1100')];[('10', '110'), ('011', '0011')];[('0010', '00010'), ('10010', '110010'), ('11', '111')];[('0', '00'), ('1', '11'), ('10011', '110011'), ('', ''), ('00', '000')];0
>oo>o<o;7;[('100', '0000')];[('10', '00'), ('00010', '0000')];[('0', ''), ('1', ''), ('010', '1101')];[('011', '1111'), ('', ''), ('0010', '0010'), ('00011', '0000'), ('0011', '0010')];0
-o[o>];6;[('100', '0000')];[('0100', ''), ('00', '')];[('0101', ''), ('100', '0000'), ('0110', '')];[('', '11'), ('0', ''), ('0111', ''), ('01', ''), ('101', '0001')];0
[>oo];5;[('011', '1111')];[('01101', '11110011'), ('', '')];[('110', '1100'), ('111', '1111'), ('1101', '110011')];[('1', ''), ('0', ''), ('01', '11'), ('1110', '111100'), ('000', '0000')];0
o>o>oo;6;[('', ''), ('110', '1100')];[('10', '10'), ('11', '11')];[('0', '0'), ('', ''), ('1010', '1011')];[('00', '00'), ('11010', '1100'), ('01', '01'), ('1011', '1011'), ('1100', '1100')];0
<+[o>];6;[('0', '00'), ('1', '01')];[('0011', '00011'), ('10011', '010011')];[('10100', '010100'), ('011', '0011'), ('0100', '00100')];[('100', '0100'), ('101', '0101'), ('110', '0110'), ('10101', '010101'), ('10110', '010110')];0
>o>o<oo;7;[('', ''), ('0', ''), ('11', '1'), ('10', '0')];[('10110', '0100'), ('0', '')];[('', ''), ('1', ''), ('0110', '1111')];[('10111', '0100'), ('0111', '1111'), ('1000', '0000'), ('11000', '1011'), ('1001', '0000')];0
[-o>o];6;[('', ''), ('00010', ''), ('00', '')];[('0100', ''), ('', '')];[('10100', '00'), ('00', ''), ('10101', '00')];[('100', '00'), ('0101', ''), ('10110', '00'), ('101', '00'), ('10111', '00')];0
>[o+o>];7;[('1', ''), ('01', '1'), ('11', '1')];[('10', '01'), ('0', '')];[('11', '1'), ('1', ''), ('011', '1')];[('100', '0101'), ('101', '011'), ('11010', '1'), ('110', '1'), ('111', '1')];0
o+[o>];6;[('01', '011'), ('', ''), ('1', '1')];[('1', '1'), ('0', '01')];[('01', '011'), ('', ''), ('010', '0110')];[('011', '0111'), ('11001', '1'), ('100', '1'), ('10', '1'), ('101', '1')];0
>-o>[o<];8;[('0010', ''), ('', '1'), ('0', '1')];[('11101', '0101'), ('1101', '0001')];[('01', '0'), ('', '1'), ('11110', '0101')];[('1110', '0101'), ('1', '1'), ('10', ''), ('0', '1'), ('11', '0')];0
o>oo>o;6;[('0', '0'), ('', ''), ('01', '011')];[('1111', '1111'), ('1100', '1110')];[('1', '1'), ('1101', '1110'), ('', '')];[('01111', '0111'), ('1110', '1111'), ('101', '1001'), ('11', '111'), ('0', '0')];0
>o>oo<o;7;[('01', '1'), ('1', ''), ('', ''), ('11', '1')];[('00101', '0110'), ('1', '')];[('0101', '1001'), ('00110', '0110'), ('0', '')];[('00111', '0110'), ('01', '1'), ('0110', '1111'), ('', ''), ('01000', '1001')];0
>o>ooo;6;[('001', '0111')];[('10', '0'), ('010', '1000')];[('0', ''), ('0010', '0111'), ('', '')];[('011', '1111'), ('11', '1'), ('100', '0000'), ('110', '1000'), ('10010', '0000')];0
<-[o>];6;[('0', '10'), ('1', '11')];[('10', '110'), ('01001', '101001')];[('01010', '101010'), ('001', '1001'), ('1001', '11001')];[('1', '11'), ('010', '1010'), ('11', '111'), ('1010', '11010'), ('01011', '101011')];0
>+o>[o<];8;[('', '0'), ('0', '0'), ('1', '0'), ('11', '')];[('10', '1'), ('', '0')];[('1010', '1111'), ('011', ''), ('100', '1011')];[('101', '1111'), ('11010', ''), ('11011', ''), ('0', '0'), ('110', '')];0
>[o-o>];7;[('', ''), ('10110', '0'), ('0', '')];[('', ''), ('1', '')];[('0', ''), ('11111', '10101010'), ('1111', '101010')];[('11', '10'), ('01000', '100'), ('01001', '100'), ('000', '0'), ('01010', '100')];0
o-[o>];6;[('100', '1000')];[('0111', '0'), ('11', '101')];[('111', '1011'), ('1000', '10000'), ('00111', '0')];[('01000', '0'), ('10', '100'), ('100', '1000'), ('1001', '10001'), ('1010', '10010')];0
[+o>o];6;[('', ''), ('01001', '11')];[('01101', '11'), ('110', '')];[('01', '11'), ('1101', ''), ('10', '')];[('', ''), ('01110', '11'), ('1110', ''), ('111', ''), ('1111', '')];0
+o[o>];6;[('1110', ''), ('0', '11')];[('1', ''), ('0001', '11001')];[('00001', '110001'), ('00010', '110010'), ('0010', '11010')];[('00011', '110011'), ('0011', '11011'), ('0', '11'), ('0100', '11100'), ('01', '111')];0
-[<+o];6;[('0101', '')];[('00', ''), ('01', '')];[('100', '0'), ('0100', ''), ('10100', '0')];[('0101', ''), ('10101', '0'), ('101', '0'), ('0110', ''), ('10110', '0')];0
-[>+<+]>o;9;[('011', '1')];[('101', ''), ('00101', '0')];[('01', '1'), ('0101', '1'), ('00110', '0')];[('00111', '0'), ('110', '0'), ('10', ''), ('11', '0'), ('00', '0')];0
-[<-o];6;[('0101', '')];[('101', '1'), ('00101', '')];[('01', ''), ('10', '1'), ('0101', '')];[('0110', ''), ('00110', ''), ('11', '1'), ('0111', ''), ('1000', '1')];0
-[-o[o+]];9;[('00000', '')];[('11111', ''), ('00011', '')];[('11', ''), ('111', ''), ('00', '')];[('1111', ''), ('10', ''), ('00100', ''), ('01', ''), ('00101', '')];0
-[-[o<-]];9;[('11011', '')];[('1110', ''), ('1111', '')];[('0010', ''), ('10', ''), ('0011', '')];[('110', ''), ('0100', ''), ('0101', ''), ('111', ''), ('11', '')];0
-[-[o+o]];9;[('10001', '')];[('0110', ''), ('10', '')];[('11', ''), ('00', ''), ('0111', '')];[('01', ''), ('110', ''), ('1000', ''), ('10110', ''), ('1001', '')];0
+[+[o-o]];9;[('00011', '')];[('001', ''), ('010', '')];[('01001', ''), ('1001', ''), ('011', '')];[('100', ''), ('01', ''), ('101', ''), ('1010', ''), ('10', '')];0
+[+[o<+]];9;[('11100', '')];[('101', ''), ('01', '')];[('1101', ''), ('10', ''), ('11', '')];[('00', ''), ('1110', ''), ('110', ''), ('1111', ''), ('01101', '')];0
+[+o[o-]];9;[('01111', '')];[('0110', ''), ('0111', '')];[('110', ''), ('1000', ''), ('111', '')];[('00110', ''), ('00111', ''), ('101', ''), ('01000', ''), ('001', '')];0
+[>+o-<-];9;[('11101', '')];[('00', '11'), ('1100', '')];[('100', ''), ('101', ''), ('110', '')];[('01100', ''), ('1101', ''), ('01', ''), ('10', ''), ('1110', '')];0
[>]<-<o;7;[('0111', '1')];[('11100', '0'), ('1100', '0')];[('0', ''), ('01', '0'), ('10', '1')];[('1101', '0'), ('100', '0'), ('11101', '0'), ('11110', '1'), ('11', '1')];0
+[>-o>];7;[('10010', '')];[('10', ''), ('11', '')];[('00001', ''), ('0', '1'), ('001', '')];[('0001', ''), ('00010', ''), ('010', '01'), ('011', '01'), ('00011', '')];0
+[-<-[>]<o];11;[('10011', '')];[('01011', '10001'), ('01100', '01000')];[('01101', '11000'), ('1011', ''), ('11', '')];[('10', ''), ('1100', ''), ('1101', ''), ('01110', '00001'), ('011', '1000')];0
+[+[<-o]+o];11;[('010', '01')];[('00', '01'), ('10000', '')];[('0000', '01'), ('10001', ''), ('000', '01')];[('01', '01'), ('0001', '01'), ('10', ''), ('0010', '01'), ('10010', '')];0
+[>-o<-];8;[('001', ''), ('00', '')];[('001', ''), ('01001', '0')];[('010', '0'), ('01010', '0'), ('01', '0')];[('10', ''), ('1001', ''), ('11', ''), ('1010', ''), ('011', '0')];0
+[>-o+<-];9;[('00110', '')];[('11111', ''), ('111', '')];[('1111', ''), ('11', ''), ('1001', '')];[('001', ''), ('1010', ''), ('01001', '00'), ('01', '00'), ('1011', '')];0
>-[<-]o;7;[('', ''), ('111', ''), ('11', '')];[('010', ''), ('', '')];[('1010', ''), ('011', ''), ('1011', '')];[('1100', ''), ('01010', ''), ('01011', ''), ('1101', ''), ('1110', '')];0
+[<]>+o;7;[('00100', '')];[('111', ''), ('11111', '')];[('00010', ''), ('', '1'), ('10', '1')];[('01', ''), ('010', ''), ('00011', ''), ('011', ''), ('00', '')];0
>+[<-]o;7;[('10001', '')];[('', ''), ('00', '')];[('01', ''), ('10', ''), ('0000', '')];[('0001', ''), ('10000', ''), ('0010', ''), ('0011', ''), ('000', '')];0
>-[<+]o;7;[('100', ''), ('', ''), ('01', '')];[('10', ''), ('1001', '')];[('11001', ''), ('', ''), ('001', '')];[('11', ''), ('010', ''), ('011', ''), ('100', ''), ('101', '')];0
+>-[<o];7;[('11111', '')];[('', '0'), ('000', '')];[('0000', ''), ('0001', ''), ('0010', '')];[('10000', ''), ('01', '1'), ('001', ''), ('10', ''), ('0011', '')];0
>+[<+]o;7;[('11110', '')];[('0011', ''), ('0100', '')];[('10', ''), ('0101', ''), ('11', '')];[('10011', ''), ('011', ''), ('', ''), ('00', ''), ('10100', '')];0
+[>+o-<+];9;[('11001', '')];[('1110', ''), ('10', '')];[('1111', ''), ('110', ''), ('111', '')];[('11', ''), ('11110', ''), ('0000', '1'), ('0001', '1'), ('00', '1')];0
+[+[<+]+o>];11;[('0000', '0')];[('10111', ''), ('11', '')];[('11000', ''), ('11001', ''), ('00', '0')];[('10', ''), ('11010', ''), ('01', '00'), ('111', ''), ('000', '0')];0
+[+<+[>]<o];11;[('11001', '')];[('001', '0'), ('0001', '0')];[('010', '0'), ('011', '0'), ('100', '')];[('01', '0'), ('10', ''), ('11', ''), ('00001', '0'), ('00010', '0')];0
+[>-o+<+];9;[('0111', '0')];[('1010', ''), ('010', '0')];[('011', '0'), ('01010', '0'), ('1011', '')];[('10', ''), ('01011', '0'), ('100', ''), ('11', ''), ('101', '')];0
>-[<+]>o;8;[('01011', '')];[('010', ''), ('1010', '1')];[('11', '0'), ('1011', '1'), ('011', '')];[('01', ''), ('10', ''), ('100', '0'), ('01010', ''), ('0', '')];0
>+[<]>o;7;[('1001', '1')];[('10', '1'), ('111', '1')];[('0', '0'), ('11', ''), ('0111', '1')];[('10111', '1'), ('001', '0'), ('1000', '1'), ('010', '0'), ('011', '1')];0
>-[<]>o;7;[('1001', '0')];[('1011', '1'), ('10', '')];[('1100', '1'), ('1', '1'), ('011', '0')];[('01011', '0'), ('11', '1'), ('01100', '0'), ('1101', '1'), ('01101', '0')];0
>+[<-]>o;8;[('1', ''), ('', ''), ('1011', '')];[('010', '0'), ('11', '')];[('00', '1'), ('1', ''), ('00010', '1')];[('011', '1'), ('0010', '1'), ('0011', '1'), ('0100', '0'), ('100', '')];0
o>-[<o];7;[('1', '11'), ('10', '1')];[('1', '11'), ('10', '1')];[('11', '11'), ('01', '00'), ('11001', '11')];[('001', '0'), ('1001', '1'), ('010', '00'), ('011', '00'), ('100', '1')];0
o>-o;4;[('0100', '00')];[('1100', '10'), ('1101', '10')];[('1110', '10'), ('01', '00'), ('1', '11')];[('100', '1'), ('10', '1'), ('11100', '10'), ('11101', '10'), ('', '')];0
>-[o>]+o;8;[('', '10'), ('001', '0')];[('00101', '0'), ('', '10')];[('101', '0'), ('10', '0'), ('11', '00')];[('0101', '0010'), ('1', '10'), ('110', '000'), ('111', '010'), ('00110', '0')];0
>-[o>]<o;8;[('', '11'), ('01', '00')];[('', '11'), ('0111', '0111')];[('1', '11'), ('10111', '1'), ('1000', '1')];[('11000', '00000'), ('01', '00'), ('11001', '00011'), ('11010', '00100'), ('11', '00')];0
>-[<+o]<o;9;[('', '00'), ('1111', '')];[('10', '1'), ('11', '')];[('101', '1'), ('110', ''), ('01', '10')];[('111', ''), ('1101', ''), ('01101', '10'), ('1110', ''), ('001', '0')];0
>-[<+o]+o;9;[('010', '10'), ('1', '')];[('010', '10'), ('1010', '0')];[('011', '10'), ('1011', '0'), ('100', '0')];[('11010', ''), ('11', ''), ('11011', ''), ('101', '0'), ('01', '10')];0
<+o>-[o<];9;[('110', '000')];[('1', '000'), ('0101', '0')];[('0', '0'), ('10', '000'), ('101', '000')];[('0110', '0'), ('0111', '0'), ('11', '000'), ('00101', '0'), ('1000', '000')];0
<+o>-oo;7;[('101', '000')];[('101', '000'), ('1101', '000')];[('1', '000'), ('0', '0'), ('11101', '000')];[('11110', '000'), ('1110', '000'), ('11111', '000'), ('110', '000'), ('111', '000')];0
-[o<+]>o;8;[('10', '00'), ('', '10')];[('0011', '0'), ('011', '1')];[('100', '00'), ('11', '00'), ('1', '00')];[('10', '00'), ('0', ''), ('10011', '00'), ('101', '00'), ('110', '00')];0
-[o<-]>o;8;[('', '11'), ('011', '1')];[('1110', '01'), ('01110', '1')];[('11', '01'), ('0', ''), ('1', '01')];[('01111', '1'), ('1111', '01'), ('0011', '0'), ('01', '1'), ('10', '01')];0
>+[>]<o;7;[('10010', '0')];[('00110', '0'), ('10', '1')];[('', '0'), ('110', '1'), ('111', '1')];[('11', '1'), ('0110', '0'), ('0111', '0'), ('0', '0'), ('1000', '0')];0
o>+o;4;[('', ''), ('01100', '0')];[('', ''), ('000', '01')];[('00', '01'), ('1', '10'), ('01000', '0')];[('1000', '11'), ('10', '11'), ('11', '1'), ('1001', '11'), ('001', '01')];0
o>+[+o];7;[('00', '0'), ('', ''), ('1', '11')];[('1100', '1'), ('00', '0')];[('1101', '1'), ('01100', '0'), ('01101', '0')];[('', ''), ('01110', '0'), ('1110', '1'), ('01111', '0'), ('1', '11')];0
[<+o>-];7;[('1000', '01')];[('0110', '0'), ('', '')];[('11', '01'), ('110', '01'), ('00110', '0')];[('00', '0'), ('0', '0'), ('0111', '0'), ('1000', '01'), ('10', '01')];0
>-o-[+o];8;[('11001', '0')];[('1100', '0'), ('11100', '0')];[('1', '11'), ('11101', '0'), ('', '11')];[('00', ''), ('10', ''), ('11', '0'), ('1101', '0'), ('1110', '0')];0
>>+o<+oo;8;[('001', ''), ('111', '')];[('00100', ''), ('100', '111')];[('101', ''), ('110', '1'), ('00', '011')];[('0100', '1'), ('0', '000'), ('1', '000'), ('111', ''), ('00101', '')];0
>+[<+o]+o;9;[('0110', '0'), ('1', '')];[('1011', ''), ('01011', '0')];[('00', '10'), ('11', '0'), ('01100', '0')];[('1100', '0'), ('10', ''), ('01101', '0'), ('1', ''), ('1101', '0')];0
>+[o+]+o;8;[('0000', '10')];[('101', '10'), ('110', '0')];[('1', '010'), ('00101', '10'), ('111', '0')];[('10', '10'), ('0101', '0'), ('00110', '10'), ('11', '0'), ('00111', '10')];0
>-o-oo;6;[('01011', '0')];[('00111', ''), ('00', '')];[('11', '0'), ('1', '100'), ('0', '100')];[('0111', '0'), ('111', '0'), ('01000', '0'), ('01001', '0'), ('10', '')];0
>-o-o<-o;8;[('00', ''), ('1010', '')];[('101', ''), ('110', '0')];[('10', ''), ('111', '0'), ('0101', '0')];[('10101', ''), ('1', '100'), ('010', '0'), ('001', ''), ('0110', '0')];0
+<-[-o>];8;[('11110', '0')];[('', '0'), ('000', '00')];[('1', '0'), ('00', '00'), ('1000', '0')];[('01', '000'), ('11', '0'), ('01000', '000'), ('1001', '0'), ('001', '00')];0
